ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000130734.9"	"ATG4D"	chr19	+	10544782	10545130	10544782	10544866	10544956	10545130	0	2,2	36,29	16,0	60,32	165	75	0.0286941370221	0.0429463593332	0.025,0.03	0.108,0.0	-0.026
1	"ENSG00000130734.9"	"ATG4D"	chr19	+	10546838	10547253	10546838	10547071	10547188	10547253	1	43,12	9,8	49,39	0,0	192	75	5.89815085661e-09	1.7478289973e-08	0.651,0.369	1.0,1.0	-0.49
2	"ENSG00000130734.9"	"ATG4D"	chr19	+	10546838	10547253	10546838	10547082	10547188	10547253	2	30,9	3,0	42,32	0,0	181	75	0.154248207572	0.210203416097	0.806,1.0	1.0,1.0	-0.097
3	"ENSG00000130734.9"	"ATG4D"	chr19	+	10546838	10547253	10546838	10547115	10547188	10547253	3	7,2	23,35	31,28	12,15	148	75	1.19605436666e-11	4.31189026452e-11	0.134,0.028	0.567,0.486	-0.445
4	"ENSG00000130734.9"	"ATG4D"	chr19	+	10551896	10552121	10551896	10551975	10552044	10552121	4	19,17	67,58	26,44	19,52	144	75	9.43930297637e-06	2.13705819385e-05	0.129,0.132	0.416,0.306	-0.23
7	"ENSG00000068120.14"	"COASY"	chr17	+	42562150	42562487	42562150	42562219	42562355	42562487	7	385,427	2,1	272,180	8,1	211	75	0.0065727653779	0.0106646494139	0.986,0.993	0.924,0.985	0.035
12	"ENSG00000175467.14"	"SART1"	chr11	+	65966075	65966556	65966075	65966218	65966349	65966556	12	4,8	74,121	0,11	57,47	206	75	0.320324611377	0.414408525804	0.019,0.024	0.0,0.079	-0.018
19	"ENSG00000142546.13"	"NOSIP"	chr19	-	49556548	49556993	49556548	49556657	49556874	49556993	19	67,60	0,0	139,94	0,8	292	75	0.000967965672762	0.00174295409581	1.0,1.0	1.0,0.751	0.125
20	"ENSG00000142546.13"	"NOSIP"	chr19	-	49556548	49556993	49556548	49556736	49556874	49556993	20	4,2	87,66	23,2	99,94	213	75	0.0024978205933	0.00431026358478	0.016,0.011	0.076,0.007	-0.028
21	"ENSG00000142546.13"	"NOSIP"	chr19	-	49557089	49558978	49557089	49557249	49558896	49558978	21	44,16	117,105	374,246	82,79	1722	75	0	0.0	0.016,0.007	0.166,0.119	-0.131
22	"ENSG00000142546.13"	"NOSIP"	chr19	-	49557089	49558978	49557089	49558199	49558896	49558978	22	16,5	0,1	140,112	0,0	772	75	1	1.0	1.0,0.327	1.0,1.0	-0.337
25	"ENSG00000124222.22"	"STX16"	chr20	+	58651282	58652138	58651282	58651434	58652072	58652138	25	711,955	3,2	1105,1186	5,0	713	75	0.697040277897	0.831745883253	0.961,0.98	0.959,1.0	-0.009
26	"ENSG00000075415.12"	"SLC25A3"	chr12	+	98593624	98594135	98593624	98593740	98593974	98594135	26	138,135	194,263	157,97	209,249	309	75	0.560331129063	0.687458278287	0.147,0.111	0.154,0.086	0.009
27	"ENSG00000075415.12"	"SLC25A3"	chr12	+	98593974	98595848	98593974	98594135	98595726	98595848	27	168,69	268,255	2066,2334	194,187	1666	75	0	0.0	0.027,0.012	0.324,0.36	-0.322
29	"ENSG00000160679.12"	"CHTOP"	chr1	+	153636571	153638448	153636571	153636653	153638294	153638448	29	590,523	153,192	3224,3505	124,98	1716	75	0	0.0	0.144,0.106	0.532,0.61	-0.446
