RBP_ID	Family_ID	RSource_ID	Motif_ID	MSource_ID	DBID	RBP_Name	RBP_Species	RBP_Status	Family_Name	RBDs	RBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	RBPSource_Name	RBPSource_URL	RBPSource_Year	RBPSource_Month	RBPSource_Day
T00060_0.6	F09_0.6	TS19_0.6	.	.	ENSG00000160917	CPSF4	Homo_sapiens	N	CCCH ZF,CCHC ZF	zf-CCCH,zf-CCHC	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T00506_0.6	F15_0.6	TS19_0.6	.	.	ENSG00000086589	RBM22	Homo_sapiens	N	CCCH ZF,RRM	zf-CCCH,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T00507_0.6	F15_0.6	TS19_0.6	.	.	ENSG00000091009	RBM27	Homo_sapiens	N	CCCH ZF,RRM	zf-CCCH,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T00508_0.6	F15_0.6	TS19_0.6	.	.	ENSG00000139746	RBM26	Homo_sapiens	N	CCCH ZF,RRM	zf-CCCH,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T00509_0.6	F15_0.6	TS19_0.6	.	.	ENSG00000160201	U2AF1	Homo_sapiens	N	CCCH ZF,RRM	zf-CCCH,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T00510_0.6	F15_0.6	TS19_0.6	.	.	ENSG00000161265	U2AF1L4	Homo_sapiens	N	CCCH ZF,RRM	zf-CCCH,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T00511_0.6	F15_0.6	TS19_0.6	.	.	ENSG00000169249	ZRSR2	Homo_sapiens	N	CCCH ZF,RRM	zf-CCCH,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T00512_0.6	F15_0.6	TS19_0.6	.	.	ENSG00000212643	ZRSR1	Homo_sapiens	N	CCCH ZF,RRM	zf-CCCH,RRM_1	2	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02625_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000014164	ZC3H3	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02626_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000056586	RC3H2	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02627_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000059145	UNKL	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02628_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000059378	PARP12	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02629_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000065548	ZC3H15	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02630_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000075975	MKRN2	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02631_0.6	F17_0.6	TS19_0.6	M037_0.6	MS2_0.6	ENSG00000076770	MBNL3	Homo_sapiens	I	CCCH ZF	zf-CCCH	1	0.70	RNCMPT00038	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02631_0.6	F17_0.6	TS19_0.6	M320_0.6	MS1_0.6	ENSG00000076770	MBNL3	Homo_sapiens	I	CCCH ZF	zf-CCCH	1	0.70	669_20071745	SELEX	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02632_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000100319	ZMAT5	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02633_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000100403	ZC3H7B	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02634_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000104907	TRMT1	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02635_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000122299	ZC3H7A	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02636_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000123200	ZC3H13	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02637_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000125352	RNF113A	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02638_0.6	F17_0.6	TS19_0.6	M263_0.6	MS1_0.6	ENSG00000128016	ZFP36	Homo_sapiens	D	CCCH ZF	zf-CCCH	1	0.70	193_18367721	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02638_0.6	F17_0.6	TS19_0.6	M264_0.6	MS1_0.6	ENSG00000128016	ZFP36	Homo_sapiens	D	CCCH ZF	zf-CCCH	1	0.70	193_18367721.1	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02638_0.6	F17_0.6	TS19_0.6	M265_0.6	MS1_0.6	ENSG00000128016	ZFP36	Homo_sapiens	D	CCCH ZF	zf-CCCH	1	0.70	193_18367721.2	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02638_0.6	F17_0.6	TS19_0.6	M266_0.6	MS1_0.6	ENSG00000128016	ZFP36	Homo_sapiens	D	CCCH ZF	zf-CCCH	1	0.70	193_18367721.3	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02638_0.6	F17_0.6	TS19_0.6	M267_0.6	MS1_0.6	ENSG00000128016	ZFP36	Homo_sapiens	D	CCCH ZF	zf-CCCH	1	0.70	194_18256032	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02638_0.6	F17_0.6	TS19_0.6	M268_0.6	MS1_0.6	ENSG00000128016	ZFP36	Homo_sapiens	D	CCCH ZF	zf-CCCH	1	0.70	194_18256032.1	RIP-chip	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02638_0.6	F17_0.6	TS19_0.6	M269_0.6	MS1_0.6	ENSG00000128016	ZFP36	Homo_sapiens	D	CCCH ZF	zf-CCCH	1	0.70	221_12324455	SELEX	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02638_0.6	F17_0.6	TS19_0.6	M350_0.6	MS1_0.6	ENSG00000128016	ZFP36	Homo_sapiens	D	CCCH ZF	zf-CCCH	1	0.70	951_12324455	SELEX	RBPDB	RBPDB	Cook	2011	21036867	v1.2.1	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02639_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000130749	ZC3H4	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02640_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000132478	UNK	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02641_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000132773	TOE1	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02642_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000133606	MKRN1	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02643_0.6	F17_0.6	TS19_0.6	M083_0.6	MS2_0.6	ENSG00000135482	ZC3H10	Homo_sapiens	D	CCCH ZF	zf-CCCH	1	0.70	RNCMPT00085	RNAcompete	RNA_Zoo	RNAcompete	Ray	2013	NULL	NULL	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02644_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000135870	RC3H1	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
T02645_0.6	F17_0.6	TS19_0.6	.	.	ENSG00000136243	NUPL2	Homo_sapiens	N	CCCH ZF	zf-CCCH	1	0.70	.	.	.	.	.	.	.	.	Ensembl	http://www.ensembl.org/	2011	Oct	26
